team_id,team_name,ko_name,ko_name_short,primary_color_override,number_color_override
172,VfB Stuttgart,슈투트가르트,슈투트가르트,ffffff,d30029
173,RB Leipzig,라이프치히,라이프치히,ffffff,d50031
175,Hamburger SV,함부르크,함부르크,ffffff,0054a6
180,1. FC Heidenheim,하이덴하임,하이덴하임,e30013,ffffff
182,Union Berlin,우니온 베를린,우니온,cc061d,ffffff
186,FC St. Pauli,장크트 파울리,St. 파울리,624839,ffffff
192,1. FC Köln,쾰른,쾰른,ffffff,000000
158,Fortuna Düsseldorf,포르투나 뒤셀도르프,뒤셀도르프
159,Hertha BSC,헤르타 베를린,헤르타,004d9e,ffffff
166,Hannover 96,하노버 96,하노버,179d33,ffffff
171,1. FC Nürnberg,뉘른베르크,뉘른베르크,aa1124,ffffff
174,FC Schalke 04,샬케 04,샬케,004a9a,ffffff
176,VfL Bochum,보훔,보훔,005ca9,ffffff
178,SpVgg Greuther Fürth,그로이터 퓌르트,퓌르트,009c3a,ffffff
179,1. FC Magdeburg,마그데부르크,마그데부르크,0069b8,ffffff
181,SV Darmstadt 98,다름슈타트,다름슈타트,004e9e,ffffff
183,Dynamo Dresden,디나모 드레스덴,드레스덴,93000e,ffffff
185,SC Paderborn 07,파더보른,파더보른,005ca8,ffffff
188,Arminia Bielefeld,아르미니아 빌레펠트,빌레펠트,005896,ffffff
191,Holstein Kiel,홀슈타인 킬,킬,00579c,ffffff
744,Eintracht Braunschweig,아인트라흐트 브라운슈바이크,브라운슈바이크,efac00,00274b
745,1. FC Kaiserslautern,카이저슬라우테른,카이저슬라우테른,e0091d,ffffff
785,Karlsruher SC,카를스루어,카를스루어,004c94,ffffff
1313,Preußen Münster,프로이센 뮌스터,뮌스터
1660,Elversberg,엘버스베르크,엘버스베르크,ffffff,000000
77,Angers,앙제,앙제,ffffff,000000
79,Lille,릴,릴,e1180b,ffffff
80,Lyon,올랭피크 리옹,리옹,0f23aa,ffffff
81,Marseille,올랭피크 마르세유,마르세유,0d61ab,ffffff
83,Nantes,낭트,낭트
84,Nice,OGC 니스,니스,000000,ffffff
85,Paris Saint Germain,파리 생제르맹,PSG,0b3b6a,ffffff
91,Monaco,AS 모나코,모나코,d12027,ffffff
94,Rennes,스타드 렌,렌,e13327,000000
95,Strasbourg,스트라스부르,스트라스부르,009fe0,ffffff
96,Toulouse,툴루즈,툴루즈,402d51,ffffff
97,Lorient,로리앙,로리앙,f58113,231f20
106,Stade Brestois 29,스타드 브레스트,브레스트,ffffff,ee151f
108,Auxerre,AJ 오세르,오세르,ffffff,004ea1
111,Le Havre,르 아브르,르 아브르,8bc4e5,00305a
112,Metz,메스,메스
114,Paris FC,파리 FC,파리FC,090f2a,ffffff
116,Lens,랑스,랑스,fce000,000000
82,Montpellier,몽펠리에,몽펠리에
87,Amiens,아미앵,아미앵
90,Guingamp,갱강,갱강
93,Reims,스타드 랭스,랭스
99,Clermont Foot,클레르몽,클레르몽
101,Grenoble,그르노블,그르노블
102,Nancy,낭시,낭시
104,RED Star FC 93,레드 스타,레드 스타
110,Estac Troyes,트루아,트루아,006eb2,ffffff
433,Laval,스타드 라발,라발
1063,Saint Etienne,생테티엔,생테티엔
1297,Pau,포,포
1298,Le Mans,르망,르망,ce0013,efbe00
1299,Boulogne,불로뉴,불로뉴
1301,Rodez,로데스,로데스
1304,Dunkerque,됭케르크,됭케르크
1305,Bastia,바스티아,바스티아
3012,Annecy,안시,안시
549,Beşiktaş,베식타쉬,베식타쉬,000000,ffffff
564,Başakşehir,이스탄불 바샥셰히르,바샥셰히르,001d3f,fc5000
607,Konyaspor,콘야스포르,콘야스포르,00804d,ffffff
611,Fenerbahçe,페네르바흐체,페네르바흐체,002749,ffef00
994,Göztepe,괴즈테페,괴즈테페,e82029,fbc707
